Sample:float,Data:float,Data2:float
"74000.0","20.0","0.0"
"74001.0","20.0","0.006283179856836796"
"74002.0","20.0","0.018849540501832962"
"74003.0","20.0","0.037699081003665924"
"74004.0","20.0","0.0628318041563034"
"74005.0","20.0","0.10053087770938873"
"74006.0","20.0","0.14451314508914948"
"74007.0","20.0","0.19477859139442444"
"74008.0","20.0","0.2513272166252136"
"74009.0","20.0","0.31415897607803345"
"74010.0","20.0","0.3832739591598511"
"74011.0","20.0","0.4586721360683441"
"74012.0","20.0","0.5340702533721924"
"74013.0","20.0","0.6157516241073608"
"74014.0","20.0","0.7037161588668823"
"74015.0","20.0","0.7916806936264038"
"74016.0","20.0","0.8796452283859253"
"74017.0","20.0","0.9738929271697998"
"74018.0","20.0","1.0681405067443848"
"74019.0","20.0","1.1686714887619019"
"74020.0","20.0","1.2692023515701294"
"74021.0","20.0","1.369733214378357"
"74022.0","20.0","1.4702640771865845"
"74023.0","20.0","1.570794939994812"
"74024.0","20.0","1.671325922012329"
"74025.0","20.0","1.7781399488449097"
"74026.0","20.0","1.8849540948867798"
"74027.0","20.0","1.9854849576950073"
"74028.0","20.0","2.092298984527588"
"74029.0","20.0","2.199112892150879"
"74030.0","20.0","2.305927038192749"
"74031.0","20.0","2.412741184234619"
"74032.0","20.0","2.5258383750915527"
"74033.0","20.0","2.632652521133423"
"74034.0","20.0","2.739466428756714"
"74035.0","20.0","2.846280574798584"
"74036.0","20.0","2.9593777656555176"
"74037.0","20.0","3.0661916732788086"
"74038.0","20.0","3.1792891025543213"
"74039.0","20.0","3.2861032485961914"
"74040.0","20.0","3.3929171562194824"
"74041.0","20.0","3.506014585494995"
"74042.0","20.0","3.612828493118286"
"74043.0","20.0","3.7259256839752197"
"74044.0","20.0","3.83273983001709"
"74045.0","20.0","3.9458370208740234"
"74046.0","20.0","4.052651405334473"
"74047.0","20.0","4.165748119354248"
"74048.0","20.0","4.272562026977539"
"74049.0","20.0","4.385659217834473"
"74050.0","20.0","4.492473602294922"
"74051.0","20.0","4.605571269989014"
"74052.0","20.0","4.712385177612305"
"74053.0","20.0","4.825482368469238"
"74054.0","20.0","4.938579559326172"
"74055.0","20.0","5.045393466949463"
"74056.0","20.0","5.158491134643555"
"74057.0","20.0","5.271588325500488"
"74058.0","20.0","5.378402233123779"
"74059.0","20.0","5.491499423980713"
"74060.0","20.0","5.6045966148376465"
"74061.0","20.0","5.71769380569458"
"74062.0","20.0","5.830790996551514"
"74063.0","20.0","5.937605381011963"
"74064.0","20.0","6.0507025718688965"
"74065.0","20.0","6.16379976272583"
"74066.0","20.0","6.276896953582764"
"74067.0","20.0","6.383710861206055"
"74068.0","20.0","6.4968085289001465"
"74069.0","20.0","6.60990571975708"
"74070.0","20.0","6.716719627380371"
"74071.0","20.0","6.829816818237305"
"74072.0","20.0","6.942914009094238"
"74073.0","20.0","7.049727916717529"
"74074.0","20.0","7.162825584411621"
"74075.0","20.0","7.275922775268555"
"74076.0","20.0","7.382736682891846"
"74077.0","20.0","7.495833873748779"
"74078.0","20.0","7.608931064605713"
"74079.0","20.0","7.715744972229004"
"74080.0","20.0","7.828842639923096"
"74081.0","20.0","7.941939830780029"
"74082.0","20.0","8.04875373840332"
"74083.0","20.0","8.161850929260254"
"74084.0","20.0","8.274948120117188"
"74085.0","20.0","8.388045310974121"
"74086.0","20.0","8.494858741760254"
"74087.0","20.0","8.607956886291504"
"74088.0","20.0","8.721053123474121"
"74089.0","20.0","8.834151268005371"
"74090.0","20.0","8.94096565246582"
"74091.0","20.0","9.054061889648438"
"74092.0","20.0","9.167160034179688"
"74093.0","20.0","9.280256271362305"
"74094.0","20.0","9.387070655822754"
"74095.0","20.0","9.500168800354004"
"74096.0","20.0","9.613265037536621"
"74097.0","20.0","9.72007942199707"
"74098.0","20.0","9.833176612854004"
"74099.0","20.0","9.939990997314453"
"74100.0","20.0","10.05308723449707"
"74101.0","20.0","10.16618537902832"
"74102.0","20.0","10.27299976348877"
"74103.0","20.0","10.386096000671387"
"74104.0","20.0","10.492910385131836"
"74105.0","20.0","10.60600757598877"
"74106.0","20.0","10.719104766845703"
"74107.0","20.0","10.825919151306152"
"74108.0","20.0","10.939016342163086"
"74109.0","20.0","11.045830726623535"
"74110.0","20.0","11.158926963806152"
"74111.0","20.0","11.272025108337402"
"74112.0","20.0","11.378839492797852"
"74113.0","20.0","11.491935729980469"
"74114.0","20.0","11.605033874511719"
"74115.0","20.0","11.711847305297852"
"74116.0","20.0","11.824944496154785"
"74117.0","20.0","11.938041687011719"
"74118.0","20.0","12.051138877868652"
"74119.0","20.0","12.157953262329102"
"74120.0","20.0","12.271050453186035"
"74121.0","20.0","12.384147644042969"
"74122.0","20.0","12.497244834899902"
"74123.0","20.0","12.604059219360352"
"74124.0","20.0","12.717156410217285"
"74125.0","20.0","12.830253601074219"
"74126.0","20.0","12.937067985534668"
"74127.0","20.0","13.050164222717285"
"74128.0","20.0","13.156978607177734"
"74129.0","20.0","13.270075798034668"
"74130.0","20.0","13.383172988891602"
"74131.0","20.0","13.48998737335205"
"74132.0","20.0","13.603084564208984"
"74133.0","20.0","13.716181755065918"
"74134.0","20.0","13.82299518585205"
"74135.0","20.0","13.9360933303833"
"74136.0","20.0","14.049190521240234"
"74137.0","20.0","14.156003952026367"
"74138.0","20.0","14.269102096557617"
"74139.0","20.0","14.382198333740234"
"74140.0","20.0","14.489013671875"
"74141.0","20.0","14.602110862731934"
"74142.0","20.0","14.71520709991455"
"74143.0","20.0","14.822022438049316"
