DAC,ADC
1.9856109619,2.0083007813
1.9750398397,1.9987792969
1.9638241529,1.9885253906
1.95185709,1.9768066406
1.9389814138,1.9665527344
1.9250084162,1.9526367188
1.9097336531,1.9423828125
1.8929555416,1.9240722656
1.8744934797,1.9108886719
1.8542020321,1.8940429688
1.831982851,1.8764648438
1.8077944517,1.8559570313
1.7816579342,1.8347167969
1.7536569834,1.810546875
1.7239365578,1.7849121094
1.6926959753,1.7570800781
1.6601817608,1.7263183594
1.6266752481,1.6962890625
1.5924807787,1.6647949219
1.5579125881,1.6296386719
1.5232822895,1.5974121094
1.488886714,1.5607910156
1.4549977779,1.529296875
1.421855092,1.4919433594
1.3896590471,1.458984375
1.3585687876,1.4252929688
1.3287018538,1.3930664063
1.3001356125,1.3615722656
1.2729119062,1.3308105469
1.2470431328,1.3037109375
1.2225189209,1.2758789063
1.1993148327,1.2487792969
1.177400589,1.2260742188
1.1567473412,1.2026367188
1.1373343468,1.1806640625
1.1191550493,1.1586914063
1.1022210121,1.1403808594
1.0865639448,1.1206054688
1.0722367764,1.1059570313
1.0593122244,1.0913085938
1.0478793383,1.0766601563
1.038040638,1.0634765625
1.0299067497,1.0517578125
1.0235903263,1.0437011719
1.0191998482,1.0363769531
1.0168346167,1.0297851563
1.0165787935,1.0246582031
1.0184967518,1.0224609375
1.0226304531,1.0209960938
1.0289962292,1.0231933594
1.037583828,1.0275878906
1.0483567715,1.0341796875
1.0612535477,1.0415039063
1.0761902332,1.0524902344
1.0930635929,1.0649414063
1.111754775,1.0810546875
1.1321332455,1.0971679688
1.1540617943,1.1154785156
1.1773996353,1.1359863281
1.2020074129,1.1579589844
1.2277487516,1.1821289063
1.2544941902,1.20703125
1.2821218967,1.2319335938
1.3105182648,1.259765625
1.3395792246,1.2868652344
1.3692077398,1.3154296875
1.3993136883,1.3447265625
1.4298119545,1.3740234375
1.4606193304,1.4047851563
1.4916530848,1.435546875
1.5228298903,1.4663085938
1.5540608168,1.4978027344
1.5852524042,1.5285644531
1.6163051128,1.5593261719
1.6471116543,1.5900878906
1.67755723,1.6215820313
1.7075206041,1.6516113281
1.7368746996,1.681640625
1.7654882669,1.7124023438
1.7932275534,1.7431640625
1.819958806,1.7687988281
1.8455499411,1.7966308594
1.8698732853,1.822265625
1.8928076029,1.8479003906
1.9142402411,1.8735351563
1.9340679646,1.8962402344
1.9521995783,1.9174804688
1.9685559273,1.9372558594
1.9830708504,1.9555664063
1.9956905842,1.9724121094
2.0063734055,1.9870605469
2.0150899887,1.9995117188
2.0218214989,2.0104980469
2.0265586376,2.0200195313
2.0293011665,2.0266113281
2.0300557613,2.0310058594
2.0288362503,2.033203125
2.0256617069,2.0339355469
2.0205545425,2.033203125
2.0135426521,2.0288085938
2.0046567917,2.0244140625
