ADC,DAC
1.6867675781,1.6982871294
1.6918945313,1.7041532993
1.6948242188,1.7129641771
1.7006835938,1.7256963253
1.7116699219,1.7430113554
1.7241210938,1.7652090788
1.7409667969,1.7922022343
1.763671875,1.8235187531
1.7893066406,1.8583246469
1.8215332031,1.895472765
1.8559570313,1.9335711002
1.8918457031,1.9710657597
1.9291992188,2.0063357353
1.9665527344,2.0377922058
2.0024414063,2.0639743805
2.0339355469,2.0836417675
2.0581054688,2.0958476067
2.0764160156,2.0999999046
2.0881347656,2.095896244
2.0932617188,2.0837361813
2.0895996094,2.0641107559
2.0734863281,2.0379633904
2.0588378906,2.0065338612
2.033203125,1.9712816477
2.0017089844,1.9337953329
1.96875,1.8956958055
1.9313964844,1.8585379124
1.8947753906,1.8237144947
1.857421875,1.7923747301
1.822265625,1.7653542757
1.7915039063,1.7431278229
1.7651367188,1.7257845402
1.7416992188,1.7130270004
1.7263183594,1.7041954994
1.7138671875,1.698315382
1.7043457031,1.6941645145
1.6984863281,1.6903557777
1.6940917969,1.6854313612
1.6904296875,1.6779603958
1.6853027344,1.666636467
1.6772460938,1.6503663063
1.6662597656,1.6283452511
1.6501464844,1.6001156569
1.6267089844,1.5656026602
1.599609375,1.5251259804
1.5651855469,1.4793874025
1.5256347656,1.4294341803
1.4794921875,1.376599431
1.4282226563,1.3224264383
1.376953125,1.268578887
1.3234863281,1.2167423964
1.271484375,1.1685255766
1.21875,1.1253657341
1.1726074219,1.0884447098
1.1286621094,1.0586203337
1.0920410156,1.0363789797
1.0627441406,1.0218099356
1.0400390625,1.0146051645
1.0261230469,1.014083147
1.0187988281,1.0192369223
1.0180664063,1.0288006067
1.0217285156,1.0413333178
1.0319824219,1.0553129911
1.0444335938,1.0692335367
1.0576171875,1.0817041397
1.0715332031,1.0915375948
1.0854492188,1.0978261232
1.0935058594,1.0999999046
1.0993652344,1.0978639126
1.1015625,1.0916099548
1.0986328125,1.0818041563
1.0935058594,1.0693517923
1.0832519531,1.0554382801
1.0715332031,1.0414530039
1.0576171875,1.0289007425
1.04296875,1.0193041563
1.0327148438,1.0141055584
1.0217285156,1.014572382
1.0166015625,1.0217146873
