Sample:float,Data:float,Data2:float
"0.0","2.0","0.005859375"
"1.0","1.9796319007873535","0.005859375"
"2.0","1.861655831336975","1.99072265625"
"3.0","1.7589632272720337","1.976806640625"
"4.0","1.676713228225708","1.864013671875"
"5.0","1.6183812618255615","1.763671875"
"6.0","1.5856459140777588","1.682373046875"
"7.0","1.5783921480178833","1.62451171875"
"8.0","1.5948281288146973","1.5908203125"
"9.0","1.6316982507705688","1.5849609375"
"10.0","1.684572458267212","1.60107421875"
"11.0","1.7481951713562012","1.636962890625"
"12.0","1.81686270236969","1.68896484375"
"13.0","1.884806752204895","1.75048828125"
"14.0","1.946560025215149","1.81787109375"
"15.0","1.9972814321517944","1.88525390625"
"16.0","2.0330240726470947","1.9453125"
"17.0","2.050933599472046","1.994384765625"
"18.0","2.049363613128662","2.02880859375"
"19.0","2.0279147624969482","2.047119140625"
"20.0","1.9873912334442139","2.04638671875"
"21.0","1.9296865463256836","2.0244140625"
"22.0","1.8576087951660156","1.9833984375"
"23.0","1.7746608257293701","1.92919921875"
"24.0","1.684788465499878","1.857421875"
"25.0","1.5921181440353394","1.77685546875"
"26.0","1.5006985664367676","1.68896484375"
"27.0","1.4142613410949707","1.595947265625"
"28.0","1.33601713180542","1.505126953125"
"29.0","1.2684940099716187","1.417236328125"
"30.0","1.2134298086166382","1.341796875"
"31.0","1.1717181205749512","1.27294921875"
"32.0","1.1434086561203003","1.218017578125"
"33.0","1.1277636289596558","1.1748046875"
"34.0","1.1233540773391724","1.149169921875"
"35.0","1.1281962394714355","1.133056640625"
"36.0","1.1399145126342773","1.1279296875"
"37.0","1.1559159755706787","1.13232421875"
"38.0","1.1735705137252808","1.14404296875"
"39.0","1.1903808116912842","1.159423828125"
"40.0","1.2041337490081787","1.177734375"
"41.0","1.213025689125061","1.193115234375"
"42.0","1.2157539129257202","1.20556640625"
"43.0","1.2115727663040161","1.21435546875"
"44.0","1.200309157371521","1.218017578125"
"45.0","1.1823437213897705","1.213623046875"
"46.0","1.1585566997528076","1.20263671875"
"47.0","1.1302475929260254","1.185791015625"
"48.0","1.0990309715270996","1.162353515625"
