Sample:float,Data:float,Data2:float
"0.0","1.836181640625","2.095871925354004"
"1.0","1.843505859375","2.083688974380493"
"2.0","1.953369140625","2.064042568206787"
"3.0","2.060302734375","2.0378777980804443"
"4.0","2.04345703125","2.006434917449951"
"5.0","2.01708984375","1.9711737632751465"
"6.0","1.985595703125","1.9336832761764526"
"7.0","1.951904296875","1.895584225654602"
"8.0","1.916748046875","1.8584312200546265"
"9.0","1.880126953125","1.823616623878479"
"10.0","1.84423828125","1.7922884225845337"
"11.0","1.81201171875","1.7652815580368042"
"12.0","1.784912109375","1.7430696487426758"
"13.0","1.760009765625","1.7257405519485474"
"14.0","1.73876953125","1.7129956483840942"
"15.0","1.724853515625","1.704174280166626"
"16.0","1.71240234375","1.6983013153076172"
"17.0","1.704345703125","1.6941535472869873"
"18.0","1.699951171875","1.6903437376022339"
"19.0","1.6962890625","1.6854137182235718"
"20.0","1.692626953125","1.6779333353042603"
"21.0","1.688232421875","1.6665964126586914"
"22.0","1.679443359375","1.6503102779388428"
"23.0","1.669189453125","1.6282713413238525"
"24.0","1.651611328125","1.6000231504440308"
"25.0","1.62890625","1.5654919147491455"
"26.0","1.60107421875","1.524998426437378"
"27.0","1.566650390625","1.4792457818984985"
"28.0","1.5263671875","1.4292818307876587"
"29.0","1.477294921875","1.3764406442642212"
"30.0","1.42822265625","1.3222664594650269"
"31.0","1.374755859375","1.268422245979309"
"32.0","1.31982421875","1.2165940999984741"
"33.0","1.267822265625","1.1683902740478516"
"34.0","1.216552734375","1.1252471208572388"
"35.0","1.1689453125","1.0883458852767944"
"36.0","1.1279296875","1.05854332447052"
"37.0","1.08984375","1.0363247394561768"
"38.0","1.060546875","1.0217781066894531"
"39.0","1.039306640625","1.0145941972732544"
"40.0","1.026123046875","1.014090657234192"
"41.0","1.01806640625","1.0192593336105347"
"42.0","1.017333984375","1.0288339853286743"
"43.0","1.0224609375","1.0413732528686523"
"44.0","1.03271484375","1.0553547143936157"
"45.0","1.04443359375","1.0692728757858276"
"46.0","1.05908203125","1.0817375183105469"
"47.0","1.072265625","1.0915617942810059"
